,ID,빽다방,이디야,스벅,커피빈,전국대비인구비율,도시인구비율,지수_pk,지수_ed,지수_sb,지수_cb,지수_국내해외,지수_최저가,지수_최고가,지수_고가,지수_해외국내
116,인천 연수,8.0,19.0,10.0,2.0,0.006683105115131367,100.0,0.013559322033898305,0.0075069142631371,0.00764525993883792,0.013071895424836602,1.0168498486994484,0.48041697080486034,0.4552843682351893,0.22395074227039988,0.9834293640098394
117,인천 중구,4.0,16.0,7.0,4.0,0.0023636564763683844,100.0,0.006779661016949152,0.006321612011062821,0.005351681957186544,0.026143790849673203,0.41597321330443726,0.17927508293119632,1.4167807199791935,0.13636573439824418,2.404000950099959
118,전주,9.0,46.0,13.0,0.0,0.012563004260076964,99.9,0.015254237288135594,0.018174634531805612,0.009938837920489297,0.0,3.3634587954217765,0.5425952739925725,0.0,0.2973129926137836,0.2973129926137836
119,정읍,1.0,4.0,1.0,0.0,0.002164335899050321,70.25,0.001694915254237288,0.0015804030027657052,0.0007645259938837921,0.0,4.284116280159915,0.7228002454057382,0.0,0.2334203683105148,0.2334203683105148
120,제주,6.0,9.0,8.0,0.0,0.009376479890164907,92.16,0.010169491525423728,0.0035559067562228367,0.0061162079510703364,0.0,2.2441026190492135,1.0514237923331815,0.0,0.4456124205334613,0.4456124205334613
121,증평,1.0,2.0,0.0,0.0,0.0007200431736474503,84.39,0.001694915254237288,0.0007902015013828526,0.0,0.0,inf,2.1449152542372882,0.0,0.0,0.0
122,진주,4.0,21.0,6.0,1.0,0.006675927258910426,91.04,0.006779661016949152,0.008297115764519953,0.0045871559633027525,0.006535947712418301,1.3554469346876563,0.3491032136794957,0.33238252984546257,0.2122432997561279,0.7377640351744468
123,창녕,1.0,2.0,0.0,0.0,0.0012232456262977664,55.93,0.001694915254237288,0.0007902015013828526,0.0,0.0,inf,2.1449152542372882,0.0,0.0,0.0
124,창원,7.0,41.0,19.0,2.0,0.020329560463009544,98.2,0.011864406779661017,0.01619913077834848,0.01452599388379205,0.013071895424836602,1.016872603704344,0.2708952973535487,0.30692742987086635,0.35312607235347543,0.9834073573790078
125,천안,8.0,21.0,15.0,1.0,0.012466218972968792,89.43,0.013559322033898305,0.008297115764519953,0.011467889908256881,0.006535947712418301,1.2139877207800875,0.5155448867314018,0.19613141996287287,0.40390723434915027,0.8237315607751101
126,청주,8.0,40.0,15.0,2.0,0.01616462868612101,91.12,0.013559322033898305,0.015804030027657054,0.011467889908256881,0.013071895424836602,1.1965610808321532,0.33609419219903086,0.3201444480797583,0.2702444450673789,0.8357283351590761
127,춘천,4.0,26.0,5.0,0.0,0.005415036478077564,91.06,0.006779661016949152,0.010272619517977083,0.00382262996941896,0.0,4.460876587936703,0.4809890752917511,0.0,0.2241711870497031,0.2241711870497031
128,충주,1.0,6.0,4.0,0.0,0.004061740446056297,78.29,0.001694915254237288,0.002370604504148558,0.0030581039755351682,0.0,1.3294249609921718,0.3122133488251027,0.0,0.7522049226860338,0.7522049226860338
129,통영,4.0,3.0,1.0,0.0,0.0025801691770543467,74.0,0.006779661016949152,0.001185302252074279,0.0007645259938837921,0.0,10.418171955882647,3.477055495017658,0.0,0.0959861292590153,0.0959861292590153
