,시도명,시군구명,상호명,지점명,경도,위도,도로명주소,ID,빽다방 매장수,브랜드명
435,충청북도,청주시,빽다방청주산남점,청주산남점,127.4669899,36.61138149,충청북도 청주시,청주,1,빽다방
436,충청북도,증평군,동백다방,-,127.5815238,36.78347315,충청북도 증평군 증평읍 중앙로6길 6-2,증평,1,빽다방
437,경기도,용인시,빽다방,용인동백역점,127.1541508,37.26995932,경기도 용인시,용인,1,빽다방
438,경기도,수원시,빽다방,수원권선이마트점,127.0229138,37.25035041,경기도 수원시,수원,1,빽다방
439,경기도,성남시,빽다방분당서현점,분당서현점,127.1214158,37.38555564,경기도 성남시,성남,1,빽다방
440,경기도,파주시,빽다방,파주운정산내점,126.7353105,37.72908581,경기도 파주시 청암로17번길 25,파주,1,빽다방
441,경기도,파주시,빽다방파주운정이마트점,파주운정이마트점,126.7458292,37.71210622,경기도 파주시 와석순환로 125,파주,1,빽다방
442,경기도,화성시,빽다방동탄영천한백점,동탄영천한백점,127.1126498,37.20626315,경기도 화성시 지산2길 4-2,화성,1,빽다방
443,경기도,용인시,빽다방,용인롯데시네마점,127.2063721,37.23501567,경기도 용인시,용인,1,빽다방
444,경기도,남양주시,빽다방,남양주덕소점,127.2120094,37.58636638,경기도 남양주시 와부읍 덕소로 88,남양주,1,빽다방
445,경기도,의왕시,빽다방,의왕계원예대점,126.9757998,37.37897772,경기도 의왕시 계원대학로 40,의왕,1,빽다방
446,경기도,김포시,빽다방김포구래점,김포구래점,126.6265695,37.64473422,경기도 김포시 김포한강9로76번길 49,김포,1,빽다방
447,경기도,김포시,빽다방,김포구래점,126.6260459,37.6442506,경기도 김포시 김포한강9로 80,김포,1,빽다방
448,경기도,군포시,빽다방,-,126.9317391,37.35921497,경기도 군포시 산본로323번길 16-7,군포,1,빽다방
449,경기도,안양시,빽다방안양남부시장점,안양남부시장점,126.9236087,37.39575155,경기도 안양시,안양,1,빽다방
450,경기도,성남시,빽다방,분당서현교보점,127.1213334,37.38391506,경기도 성남시,성남,1,빽다방
451,경기도,고양시,빽다방,고양원흥역점,126.8755229,37.64955953,경기도 고양시,고양,1,빽다방
452,경기도,부천시,빽다방부천약대점,부천약대점,126.770685,37.51493698,경기도 부천시 평천로 718,부천,1,빽다방
453,경기도,고양시,빽다방고양삼송신원점,고양삼송신원점,126.8894165,37.66398135,경기도 고양시,고양,1,빽다방
454,경기도,안양시,더본코리아_빽다방평촌,씨지브이점,126.9622493,37.3929703,경기도 안양시,안양,1,빽다방
455,경기도,화성시,더본코리아_빽다방동탄,은행사거리점,127.0618674,37.20874638,경기도 화성시 동탄지성로 121,화성,1,빽다방
456,경기도,군포시,더본코리아_빽다방군포당정삼거리점,-,126.9553841,37.3481087,경기도 군포시 고산로151번길 7,군포,1,빽다방
457,경기도,군포시,더본코리아_빽다방군포당정역,은하점,126.9448565,37.34628521,경기도 군포시 고산로 248,군포,1,빽다방
458,경기도,성남시,더본코리아_빽다방분당미금역,천사점,127.1082995,37.35075687,경기도 성남시,성남,1,빽다방
459,경기도,파주시,빽다방,문산시장점,126.7832912,37.85745068,경기도 파주시 문산읍 문산로 37,파주,1,빽다방
460,경기도,용인시,더본코리아_빽다방상현역,광교점,127.0697312,37.29766534,경기도 용인시,용인,1,빽다방
461,경기도,고양시,빽다방,고양원당중앙점,126.8374964,37.6580299,경기도 고양시,고양,1,빽다방
462,경기도,시흥시,백다방시흥,정왕옥구점,126.7244113,37.35371874,경기도 시흥시 옥구상가2길 3,시흥,1,빽다방
463,경기도,안양시,빽다방,명학역점,126.9337927,37.38480578,경기도 안양시,안양,1,빽다방
464,경기도,고양시,빽다방,일산주엽역점,126.7621259,37.6705619,경기도 고양시,고양,1,빽다방
465,강원도,춘천시,빽다방,춘천명동씨지브이점,127.7270586,37.87904441,강원도 춘천시 명동길 15-1,춘천,1,빽다방
466,경기도,평택시,빽다방평택로데오,-,127.089386,36.99197171,경기도 평택시 평택2로10번길 34,평택,1,빽다방
467,경기도,김포시,백다방김포한강,씨지브이점,126.6841555,37.65429257,경기도 김포시 김포한강11로 288-32,김포,1,빽다방
468,경기도,고양시,백다방화정,-,126.8318235,37.63238493,경기도 고양시,고양,1,빽다방
469,경기도,용인시,빽다방용인죽전누리,-,127.110355,37.32002732,경기도 용인시,용인,1,빽다방
470,경기도,평택시,빽다방,평택팽성점,127.0632699,36.96425684,경기도 평택시 팽성읍 팽성송화로 219,평택,1,빽다방
471,경기도,수원시,빽다방,수원인계CGV점,127.0319315,37.26444546,경기도 수원시,수원,1,빽다방
472,충청북도,청주시,빽다방,청주분평중앙점,127.4898776,36.60725496,충청북도 청주시,청주,1,빽다방
473,경기도,용인시,빽다방,용인구성역점,127.1072712,37.30029729,경기도 용인시,용인,1,빽다방
474,충청북도,충주시,빽다방,충주신연수리첼점,127.9415711,36.98685284,충청북도 충주시 번영대로 216,충주,1,빽다방
475,경기도,화성시,백다방,-,126.9774838,37.21471612,경기도 화성시 봉담읍 와우안길 31,화성,1,빽다방
476,경기도,수원시,백다방수원권선웰빙점,수원권선웰빙점,127.0174528,37.25856822,경기도 수원시,수원,1,빽다방
477,경기도,오산시,빽다방,오산세교삼미점,127.065107,37.17078146,경기도 오산시 오산대역로 210,오산,1,빽다방
478,경기도,안산시,빽다방,안산중앙역롯데점,126.8380296,37.31855854,경기도 안산시,안산,1,빽다방
479,경기도,김포시,빽다방,김포통진마송점,126.6007526,37.68966073,경기도 김포시 통진읍 조강로 39,김포,1,빽다방
480,경기도,수원시,빽다방,광교법조타운점,127.0683602,37.29268055,경기도 수원시,수원,1,빽다방
481,경기도,화성시,빽다방,화성향남로데오점,126.9135119,37.11634163,경기도 화성시 향남읍 상신하길로328번길 26,화성,1,빽다방
482,경기도,시흥시,빽다방,시흥배곧메가점,126.7301776,37.36921579,경기도 시흥시 서울대학로278번길 43-13,시흥,1,빽다방
